year;city;avg_temp
2008;Rome;13.01
2008;Milan;7.91
2009;Rome;13.28
2009;Milan;8.11
2010;Milan;7.05
2010;Rome;12.63
2011;Rome;13.46
2011;Milan;8.68
2012;Milan;8.05
2012;Rome;13.45
2013;Rome;13.60
2013;Milan;8.04
